ID,Title,Medium_Picture,Large_Picture,Mean,Rank,Popularity,Genres,Synopsis
156364,Silver Jiken: Case #4.5 - Face,https://cdn.myanimelist.net/images/manga/1/293594.jpg,https://cdn.myanimelist.net/images/manga/1/293594l.jpg,,26667.0,63319,"Adult Cast, Detective, Mystery, Psychological, Suspense","Applying to join the Administrative Inspection Office, Sakura Natsume, the protagonist, embarks upon six months of training. As part of her training programme, Sakura is tasked with writing reports about unusual crimes. During this process, she interviews Sumio Kodai, a former detective who is now being held in police custody after committing a crime of conscience. ""If you don't connect with the darkness inside yourself you can't understand criminals, and you can't become an investigator."" Sakura is left shaken by Sumio's words. And then, one day, news about a serial murder case is sprung upon her...  (Source: ASCII Corporation, translated)"
3865,Kidou Senshi Gundam SEED,https://cdn.myanimelist.net/images/manga/2/296831.jpg,https://cdn.myanimelist.net/images/manga/2/296831l.jpg,7.06,8011.0,22279,"Drama, Mecha, Military, Sci-Fi, Shounen","The 'neutral' space colony of Heliopolis houses Morgenroete, a top-secret weapons research facility specializing in producing the battleship Archangel and five prototype Gundams for the Earth Alliance Force. ZAFT, the rebel army composed of genetically modified humans known as Coordinators, attacks Heliopolis, stealing four of the five prototypes. Civilian Kira Yamato, a Coordinator raised by Natural parents, stumbles upon the Gundam Strike during the attack. He pilots the mobile suit for the Earth Alliance Force in order to protect his Natural friends and finds himself locked in mortal combat with his childhood best friend, Coordinator Athrun Zala, who is now an ace pilot for ZAFT. Their friendship is not the only thing at stake; the survival of an entire race depends on the outcome of this war. (Source: Tokyopop)"
69507,Choukou Tenshi Escalayer,https://cdn.myanimelist.net/images/manga/1/168171.webp,https://cdn.myanimelist.net/images/manga/1/168171l.webp,,,35918,"Hentai, Sci-Fi, Supernatural","Sayuka Kouenji, is the Escalayer, guardian of the Earth against the dark forces of the Dielast. By her side is the android Madoka, and it is Madoka's job to track and recharge the source of Sayuka's power, the Doki Doki Dynamo. Located within Sayuka's body, the Doki Doki Dynamo can only be recharged when Sayuka experiences a high level of sexual arousal which, until recently, Madoka has been able to provide her. With unacceptably low energy levels facing them, Madoka brings in the assistance of Kyohei Yanase, a boy from Sayuka's school. Kyohei once harbored a crush for Sayuka, and his sexual prowess could not have come sooner. For now arrayed against these three defenders of the Earth is the Dielast version of the Escalayer, the FM77, who is ruthless in combat, and brimming with violent desire.  (Source: ANN)"
13005,Loveless,https://cdn.myanimelist.net/images/manga/2/18136.webp,https://cdn.myanimelist.net/images/manga/2/18136l.webp,7.06,8035.0,15121,"Boys Love, Drama, Fantasy, Mystery, Shoujo","""I am your fighter""  In front of Aoyagi Ritsuka, there is a boy that named himself as Loveless fighter, Seiryo Yukiharu appears. Since he has the same voice as his deceased brother, Ritsuka opens his heart to Seiryo's tenderness. But, when he felt the warmth of Agatsuma Soubi's hand, he was attacked by anxiety. Was it okay to let Soubi's hand go?  ""Who is the partner with I want to have a strong connection?"" When Ritsuka hesitates with this, real love and bonds are tested."
97747,Touch Me: Koi no Okusuri,https://cdn.myanimelist.net/images/manga/1/174872.jpg,https://cdn.myanimelist.net/images/manga/1/174872l.jpg,,,62296,"Harem, Hentai, School","The protagonist is in the medical major. Under the threat of his father, he goes to an all-girls high school and spent a month there as a doctor at the health department. Of course, a male doctor in an all-girls school is pretty odd and rare. Basically, during his month of stay, he will meet a total of 5 girls, each having their own personality and problems/troubles in love. So, as a school doctor, he has to somehow tries to heal their hearts and make them feel happy.  (Source: Anime Densetsu, edited)"
140150,Chainsaw Man: Buddy Stories,https://cdn.myanimelist.net/images/manga/3/252140.jpg,https://cdn.myanimelist.net/images/manga/3/252140l.jpg,7.79,1349.0,1977,"Action, Adventure, Fantasy, Shounen, Urban Fantasy","Power lives out her favorite anime by becoming a genius detective—or so she wants her ""audience"" to believe! Denji is along for the ride as her assistant for an investigation into disappearances at a mountain hotel. Other stories center on Quanxi and Kishibe's relationship nine years after they met, Himeno and Aki's first assignment together, and Denji, Power, and Aki's dream trip to Enoshima.  (Source: VIZ Media)"
44589,Arata naru Sekai: Gendai-hen,https://cdn.myanimelist.net/images/manga/2/78635.webp,https://cdn.myanimelist.net/images/manga/2/78635l.webp,,36733.0,20899,"Sci-Fi, Time Travel","""A classmate still remaining here is the cause of human extinction.""  That's what it said in the letter from the past, written in the familiar handwriting of my friend. The next day, I decided to go to school, though I can't remember how many weeks it's been since I last went. 'I decided to go search for the culprit' would be a lie, but 'it didn't matter' would also be a lie.  ""Hey Arata, I almost thought you'd forgotten how to come to school.""  Oh, アラタ (Arata) refers to me by the way. It's written as 新 in kanji. The kanji is often misread as シン (shin) though.  ""Huh, and what'd you come here for Nouko? Come here often?""  The students here are what you would call 'the losers'. At least, from the perspective of time travel, they are all classified as useless. I am also one of them."
66517,Umineko no Naku Koro ni,https://cdn.myanimelist.net/images/manga/3/290256.webp,https://cdn.myanimelist.net/images/manga/3/290256l.webp,8.54,131.0,3241,"Fantasy, Horror, Mystery, Psychological, Supernatural, Suspense","Considered as the third installment in the highly popular When They Cry series by 07th Expansion, Umineko no Naku Koro ni takes place on the island of Rokkenjima, owned by the immensely wealthy Ushiromiya family. As customary per year, the entire family is gathering on the island for a conference that discusses the current financial situations of each respective person. Because of the family head's poor health, this year involves the topic of the head of the family's inheritance and how it will be distributed.  However, the family is unaware that the distribution of his wealth is the least of Ushiromiya Kinzou's (family head) concerns for this year's family conference. After being told that his end was approaching by his longtime friend and physician, Kinzou is desperate to meet his life's true love one last time: the Golden Witch, Beatrice. Having immersed himself in black magic for many of the later years in his life, Kinzou instigates a ceremony to revive his beloved upon his family's arrival on Rokkenjima. Soon after, a violent typhoon traps the family on the island and a string of mysterious murders commence, forcing the eighteen people on the island to fight for their lives in a deadly struggle between fantasy and reality.  [Written by MAL Rewrite]"
11113,Shangri-La,https://cdn.myanimelist.net/images/manga/2/46581.jpg,https://cdn.myanimelist.net/images/manga/2/46581l.jpg,,21815.0,29491,"Action, Adventure, Military, Sci-Fi","In the middle of 21st century, the global warming changed Tokyo into a tropical city and the devastating squalls made it impossible to live a civilized life in the city. The government decided to abandon Tokyo and evacuate people to a gigantic layered megalopolis ""Atlas"", but the small capacity of Atlas gave rise to a huge number of refugees and the anti-government guerrillas. Houjyou Kuniko, the leader of the guerrilla, took up the arms and confronted the government to stop the Atlas project."
105022,Haramase Onaho Taima Kishi Judith,https://cdn.myanimelist.net/images/manga/3/194595.jpg,https://cdn.myanimelist.net/images/manga/3/194595l.jpg,,,61726,"Fantasy, Hentai, School","The mighty demon-slayer, noble, charismatic, top class at knight's academy, unassailably forthright and gallant; the perfect heroine is his perfect f*ckable toy!  A Norn/Miel/Cybele's X-rated fantasy tale about him, soiling the Holy Empress Judith.  (Source: dlsite)"
101842,Kamoku na Kishi Danchou no Inbi na Honnou,https://cdn.myanimelist.net/images/manga/1/184423.webp,https://cdn.myanimelist.net/images/manga/1/184423l.webp,,49800.0,67816,"Josei, Romance",
107295,Saiki Kusuo no Ψ-nan: Extra Story of Psychics,https://cdn.myanimelist.net/images/manga/1/219847.jpg,https://cdn.myanimelist.net/images/manga/1/219847l.jpg,,51737.0,22701,"Comedy, Gag Humor, Supernatural","New disasters for ESPer Saiki Kusuo… Nendou starts talking about Nietzsche, Kaidou becomes a Wizard at Kitsune High…!? Caught in the trap of a jumbo ramen challenge, and what’s the reason Saiki is absent from school…!? A novelized compilation of daily life stories. Celebrating the 1 year anniversary of serialization for the popular JUMP manga Saiki Kusuo no PSI nan! What new disasters await Saiki? A collection of 5 short stories, 4 extra short stories, illustrations, and pull out posters.  (Source: Official site)"
138558,Jigoku no Gouka de Yakaretsuzuketa Shounen. Saikyou no Honootsukai to Natte Fukkatsu suru.,https://cdn.myanimelist.net/images/manga/3/248049.webp,https://cdn.myanimelist.net/images/manga/3/248049l.webp,,23356.0,43455,"Action, Adventure, Fantasy","""Hellfire""—once sealed unquenchable fire, whose fierce flames can burn the entire world to the ground. Flare is an ordinary guy who lives in a border village and is sacrificed to an out-of-control fire. Experiencing inhuman torments in the hellfire, he would seem to have no chance of surviving...  But wait a minute! Is he not dying? Had he endured the fury of hellfire? Flare literally rose from the ashes and returned to the world of the living, gaining the ability to control the ""Hellfire!"" This is a fantasy story about the travels of a free hero who conquered the flame and cheated death itself!  (Source: Kodansha, translated)"
70267,"Kangoku Gakuen: Gakuen Kounin, Chijoku no Kagai Jugyou",https://cdn.myanimelist.net/images/manga/1/120343.jpg,https://cdn.myanimelist.net/images/manga/1/120343l.jpg,,,38841,"Hentai, School","There is a boarding school deep in the mountains. The school is well-known as an elite school, but it has another aspect. Yes, it also trains sex slaves.... The main character is Sayaka. She joins the school to earn money for his sickly younger brother. She knows what will happen to her at school, but it is more than her expectation.... Various lessons to be sex slaves.... Well, will she be able to get out of this school or...?  (Source: ErogeShop)"
117446,Nihon e Youkoso Elf-san.,https://cdn.myanimelist.net/images/manga/2/217379.webp,https://cdn.myanimelist.net/images/manga/2/217379l.webp,7.31,4785.0,8536,"Comedy, Fantasy, Isekai","Kazuhiro Kitase's only hobby is sleeping. Ever since he was young, he would enter a wondrous world within his dreams and go on thrilling adventures. One day, he goes on an adventure with an elf girl he became friends with in his dream world, but it's put to an abrupt halt when they both get scorched with a dragon's breath! As he wakes up from his dream, he notices a familiar figure sleeping next to him...the elf girl from his dreams?!  Join Kazuhiro on his new adventures through Japan with Ms. Elf!  (Source: J-Novel Club)"
